date,exchange rate,GDP,Inflation,Export,Import,GrossExtDebt,Interest Trend,GDP in $
2013-11-09,7.992999999999999,402506.6195652174,-0.14666666666666667,163504.29347826086,209517.76086956522,139314.9347826087,15.8,50357.390162043965
2013-11-10,7.992999999999999,402622.17391304346,-0.14,163542.60869565216,209433.65217391305,139367.08695652173,15.9,50371.84710534762
2013-11-11,7.992999999999999,402737.72826086957,-0.13333333333333336,163580.9239130435,209349.54347826086,139419.23913043478,16.0,50386.30404865127
2013-11-12,7.992999999999999,402853.2826086957,-0.12666666666666668,163619.23913043478,209265.4347826087,139471.39130434784,16.1,50400.76099195492
2013-11-13,7.992999999999999,402968.8369565217,-0.12000000000000001,163657.55434782608,209181.3260869565,139523.54347826086,16.2,50415.21793525857
2013-11-14,7.992999999999999,403084.39130434784,-0.11333333333333334,163695.86956521738,209097.21739130435,139575.69565217392,16.3,50429.674878562226
2013-11-15,7.992999999999999,403199.9456521739,-0.10666666666666667,163734.1847826087,209013.10869565216,139627.84782608695,16.4,50444.13182186587
2013-11-16,7.992999999999999,403315.5,-0.1,163772.5,208929.0,139680.0,16.5,50458.58876516953
2013-11-17,7.992999999999999,403431.0543478261,-0.09333333333333334,163810.8152173913,208844.89130434784,139732.15217391305,16.6,50473.04570847318
2013-11-18,7.992999999999999,403546.60869565216,-0.08666666666666667,163849.13043478262,208760.78260869565,139784.30434782608,16.7,50487.50265177683
2013-11-19,7.992999999999999,403662.1630434783,-0.08,163887.44565217392,208676.6739130435,139836.45652173914,16.8,50501.95959508048
2013-11-20,7.992999999999999,403777.7173913043,-0.07333333333333333,163925.76086956522,208592.5652173913,139888.60869565216,16.9,50516.41653838413
2013-11-21,7.992999999999999,403893.27173913043,-0.06666666666666668,163964.0760869565,208508.45652173914,139940.76086956522,17.0,50530.873481687784
2013-11-22,7.992999999999999,404008.82608695654,-0.06,164002.39130434784,208424.34782608695,139992.91304347827,17.1,50545.330424991436
2013-11-23,7.992999999999999,404124.3804347826,-0.053333333333333344,164040.70652173914,208340.23913043478,140045.0652173913,17.2,50559.78736829509
2013-11-24,7.992999999999999,404239.9347826087,-0.04666666666666666,164079.02173913043,208256.13043478262,140097.21739130435,17.3,50574.24431159874
